"county_fips_code","county_name","state","total_pop","confirmed_rate","mortality_rate","white_pop_per_1000","black_pop_per_1000","asian_pop_per_1000","hispanic_pop_per_1000","amerindian_pop_per_1000","other_race_pop_per_1000","two_or_more_races_pop_per_1000"
"06091","Sierra County","CA",2885,0.0138648180242634,0,0.000869670710571924,1.38648180242634e-06,0,0.00010051993067591,9.7053726169844e-06,0,1.87175043327556e-05
"06003","Alpine County","CA",1203,0.0590191188694929,0,0.000645885286783042,1.49625935162095e-05,6.65004156275977e-06,9.72568578553616e-05,0.000206151288445553,0,2.9093931837074e-05
"06049","Modoc County","CA",9017,0.0311633581013641,0.000332704890761894,0.000780192968836642,7.20860596650771e-06,1.06465565043806e-05,0.000146057447044472,4.00354885216813e-05,4.43606521015859e-07,1.45281135632694e-05
"06043","Mariposa County","CA",17658,0.018122097632801,0.000226526220410012,0.000810340921961717,1.21757843470382e-05,9.51410125722052e-06,0.000105901008041681,2.35587269226413e-05,0,3.53380903839619e-05
"06099","Stanislaus County","CA",535684,0.0791754093831438,0.00139821237893982,0.000433520508359406,2.5401169346107e-05,5.3539026739645e-05,0.000449548614481672,4.17036909819968e-06,1.65956048715287e-06,2.57521225199931e-05
"06057","Nevada County","CA",98838,0.0323660940124244,0.000738582326635505,0.000853811287156762,5.47360326999737e-06,1.10281470689411e-05,9.21609097715454e-05,6.77876929925737e-06,2.03363078977721e-06,2.78030716930735e-05
"06015","Del Norte County","CA",27442,0.0306100138473872,7.28809853509219e-05,0.000627979010276219,1.76371984549231e-05,2.70024050725166e-05,0.000192442241819109,7.16055681072808e-05,4.88302601851177e-06,5.76852999052547e-05
"06113","Yolo County","CA",212605,0.0499517885280214,0.000616166129677101,0.000475271042543684,2.21302415277157e-05,0.000135838762023471,0.00031413654429576,2.57754991651184e-06,1.93786599562569e-06,4.41193763081771e-05
"06007","Butte County","CA",225207,0.0420679641396582,0.000537283476978957,0.000729035953589364,1.457325926814e-05,4.37464199603032e-05,0.000157388535880323,7.27774891544224e-06,1.63849258682013e-06,4.47455008059252e-05
"06089","Shasta County","CA",178919,0.0536555648086564,0.0006539271961055,0.000804380753301773,1.09043757230926e-05,2.90354853313511e-05,9.6233491132859e-05,2.18925882661987e-05,5.92446861428915e-07,3.62678083378512e-05
"06031","Kings County","CA",150183,0.128290152680397,0.000952171683879001,0.000331116038433112,5.93675715626935e-05,3.63756217414754e-05,0.000537444317932123,7.99025189269092e-06,1.40495262446482e-06,2.40906094564631e-05
"06103","Tehama County","CA",63247,0.0609356965547773,0.000664063117618227,0.000692190933957342,5.94494600534413e-06,1.43406011352317e-05,0.000242161683558113,1.50362863060699e-05,4.11086691858902e-07,2.95191866807912e-05
"06045","Mendocino County","CA",87497,0.0333611438106449,0.000365726824919712,0.000659245459844338,6.40021943609495e-06,1.70863001017178e-05,0.000244602672091615,3.2606832234248e-05,2.80009600329154e-06,3.51326331188498e-05
"06023","Humboldt County","CA",135490,0.0172927891357296,0.000177134843899919,0.000748837552586907,1.02516790907078e-05,2.86810834747952e-05,0.000110605948778508,4.57303122001624e-05,2.67178389549044e-06,5.0564617314931e-05
"06115","Yuba County","CA",74644,0.0625770323133809,0.000361716949788329,0.000562911955415037,3.22463962274262e-05,6.29655431113017e-05,0.000274355607952414,9.659182251755e-06,1.68801243234553e-06,5.27302931246986e-05
"06055","Napa County","CA",141005,0.0539058898620616,0.000276585936668912,0.000531966951526542,2.04035317896528e-05,7.7585901209177e-05,0.000337200808481969,2.8013191021595e-06,3.49632991737882e-06,2.45665047338747e-05
"06051","Mono County","CA",14058,0.0783183952198037,0.000284535495803101,0.000660691421254802,3.77009531939109e-06,1.97752169583156e-05,0.000271375729122208,2.23360364205435e-05,0,2.20515009247404e-05
"06093","Siskiyou County","CA",43530,0.026280725936136,0.000298644612910636,0.000771582816448426,1.5368711233632e-05,1.5759246496669e-05,0.000119871353089823,2.89915001148633e-05,8.04043188605559e-07,4.47048012864691e-05
"06069","San Benito County","CA",58671,0.0845903427587735,0.000732900410765114,0.000355746450546266,7.44831347684546e-06,2.66571219171311e-05,0.00058906444410356,3.03386681665559e-06,1.48284501712942e-06,1.49818479316869e-05
"06029","Kern County","CA",878744,0.090959369281611,0.000642963138297388,0.000353502271423759,5.12367652012418e-05,4.53010205475087e-05,0.000522230592755114,4.79548082262866e-06,1.13343590397203e-06,2.06294438425753e-05
"06009","Calaveras County","CA",45057,0.03588787535788,0.000510464522715671,0.000819672858823268,5.72608029828883e-06,1.16962958030939e-05,0.000114654770623876,8.67789688616641e-06,1.24287014226424e-06,3.37128526089176e-05
"06019","Fresno County","CA",971616,0.0848946497381682,0.000959226690379738,0.000302256241148767,4.65379326812239e-05,9.89362052498106e-05,0.000524324424463986,4.31960774627013e-06,1.8515545235978e-06,2.0419589632118e-05
"06087","Santa Cruz County","CA",273263,0.0450042632921398,0.000413521040170093,0.000578153646853032,8.0654900224326e-06,4.39942473002199e-05,0.000333363828985263,1.59553250897487e-06,1.68335998653312e-06,3.25400804353315e-05
"06017","El Dorado County","CA",185015,0.0416560819393022,0.000237818555252277,0.000784547198875767,8.7236170040267e-06,4.2185768721455e-05,0.000125822230629949,5.696835391725e-06,1.12963813744831e-06,3.01543118125557e-05
"06063","Plumas County","CA",18724,0.0270241401409955,0.000267036957914975,0.000835291604358043,8.54518265327921e-06,7.90429395428327e-06,8.53984191412091e-05,1.82653279213843e-05,5.98162785729545e-06,3.56761375774407e-05
