"county_fips_code","county_name","date","confirmed_cases","deaths","total_pop","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","first_confirmed_case_date","population_density","case_fatality_rate","infection_rate","mortality_rate","avg_activity_change_7_days","new_deaths","new_confirmed_cases"
"06001","Alameda County",2020-02-15,4,0,1629615,1,0,22,1,0,-1,2020-02-15,491.579080896757,0,2.45456748986724e-06,0,-21.6234207968902,0,0
"06001","Alameda County",2020-02-16,5,0,1629615,7,0,24,5,1,-2,2020-02-15,491.579080896757,0,3.06820936233405e-06,0,-21.6234207968902,0,12
"06001","Alameda County",2020-02-17,5,0,1629615,13,1,55,-31,-53,11,2020-02-15,491.579080896757,0,3.06820936233405e-06,0,-21.6234207968902,0,7
"06001","Alameda County",2020-02-18,6,0,1629615,-2,3,21,3,0,0,2020-02-15,491.579080896757,0,3.68185123480086e-06,0,-21.6234207968902,1,15
"06001","Alameda County",2020-02-19,6,0,1629615,-1,0,14,1,0,0,2020-02-15,491.579080896757,0,3.68185123480086e-06,0,-21.6234207968902,0,10
"06001","Alameda County",2020-02-20,6,0,1629615,1,1,13,2,0,0,2020-02-15,491.579080896757,0,3.68185123480086e-06,0,-21.6234207968902,0,11
"06001","Alameda County",2020-02-21,7,0,1629615,1,1,8,-1,3,0,2020-02-15,491.579080896757,0,4.29549310726767e-06,0,-21.6234207968902,0,24
"06001","Alameda County",2020-02-22,9,0,1629615,1,3,18,-2,4,-1,2020-02-15,491.579080896757,0,5.52277685220129e-06,0,-21.6234207968902,0,20
"06001","Alameda County",2020-02-23,10,0,1629615,4,4,26,15,3,-1,2020-02-15,491.579080896757,0,6.1364187246681e-06,0,-21.6234207968902,0,15
"06001","Alameda County",2020-02-24,11,0,1629615,0,0,9,0,4,0,2020-02-15,491.579080896757,0,6.75006059713491e-06,0,-21.6234207968902,0,19
"06001","Alameda County",2020-02-25,13,0,1629615,1,2,26,5,3,-1,2020-02-15,491.579080896757,0,7.97734434206853e-06,0,-21.6234207968902,0,39
"06001","Alameda County",2020-02-26,13,0,1629615,2,2,20,3,2,-1,2020-02-15,491.579080896757,0,7.97734434206853e-06,0,-21.6234207968902,0,25
"06001","Alameda County",2020-02-27,13,0,1629615,4,4,23,4,2,-1,2020-02-15,491.579080896757,0,7.97734434206853e-06,0,-21.6234207968902,0,42
"06001","Alameda County",2020-02-28,13,0,1629615,3,5,8,0,4,0,2020-02-15,491.579080896757,0,7.97734434206853e-06,0,-21.6234207968902,0,25
