"state","county_name","total_pop","male_pop","female_pop","white_pop","black_pop","asian_pop","hispanic_pop","amerindian_pop","commuters_by_public_transportation","median_income","housing_units","vacant_housing_units","employed_pop","unemployed_pop","in_school","in_undergrad_college","cases_per_10000","deaths_per_10000","death_per_case","bad"
"connecticut","new london",270772,50.0720163089241,49.9279836910759,76.1751584358796,5.20474790598733,4.10973069593606,10.0401814072356,0.450932888186371,0.757094529715037,69411,45.2775767066019,5.68965771940969,49.4090969524175,3.69535993381886,23.2313533157047,5.4078708285938,557.147710989319,12.0027181540189,0.021543152591807,"TRUE"
"vermont","orange",28901,49.6799418705235,50.3200581294765,95.6679699664372,0.650496522611674,0.32870834919207,1.33559392408567,0.40483028268918,0.273346943012353,56584,52.7386595619529,10.2660807584513,53.0881284384623,2.35977993841044,20.5909830109685,3.97564098128092,135.635445140307,0.346008788623231,0.00255102040816327,"FALSE"
"new hampshire","coos",32119,52.6884398642548,47.3115601357452,93.5832373361562,2.30081882997603,0.566642797098291,1.70926865718111,0.426538808804757,0.0498147513932563,45386,66.9105513870295,23.6993679753417,45.8544786574925,2.97954481770914,18.2539929636664,3.25663937233413,306.049378872319,6.53818612036489,0.0213631739572737,"FALSE"
"vermont","rutland",59676,49.0565721563107,50.9434278436893,95.5459481198472,0.745693411086534,1.05905221529593,1.36905958844427,0.345197399289497,0.514444667873182,52635,57.4033112138883,15.2423084657149,50.5261746765869,2.47838326965614,21.8513305181312,5.88511294322676,112.775655204772,1.50814397747838,0.0133729569093611,"FALSE"
"massachusetts","hampden",469188,48.2516603152681,51.7483396847319,64.0717580159765,7.81051518794172,2.15819671432347,23.9353947671296,0.132569460429508,0.881736105782757,52205,41.205657433694,3.06934533705039,45.8929043368543,3.9706897874626,25.7608890252948,6.35587440428996,715.001236178248,24.2546697699003,0.0339225564133902,"TRUE"
"massachusetts","essex",775860,48.1898796174568,51.8101203825432,71.9818008403578,3.06524372953883,3.40886242363313,19.6155234191736,0.0797824349753821,2.95955455881216,73533,40.1076225092156,2.5159178202253,51.2490655530637,3.2803598587374,24.6614079859769,5.47779238522414,925.862913412214,23.9991751089114,0.0259208731241473,"TRUE"
"massachusetts","bristol",557016,48.4221279101498,51.5778720898502,82.793851523116,3.47440648024473,2.19275568385827,7.3450313815043,0.0314174099128212,1.34484467232539,62514,41.9287776293679,3.16813161560889,50.0053858416993,3.7273615120571,24.2802720209114,5.71060795381102,815.757536587818,22.2973846352708,0.0273333480050177,"TRUE"
"rhode island","kent",164012,48.3732897592859,51.6267102407141,89.5202790039753,1.33587786259542,2.48640343389508,4.36858278662537,0.0847498963490476,0.591420139989757,69047,45.2149842694437,3.13696558788381,53.5460819940004,3.50157305563008,21.5380581908641,4.78196717313367,719.581494037022,13.8404506987294,0.0192340281308253,"TRUE"
"vermont","franklin",48816,49.6783841363487,50.3216158636513,94.2027204195346,0.618649623074402,0.309324811537201,1.43600458865946,0.524418223533268,0.276548672566372,62214,45.696083251393,7.49344477220583,52.9846771550311,2.42953130121272,21.3434119960669,2.58726647000983,137.86463454605,6.76007866273353,0.0490341753343239,"FALSE"
"delaware","sussex",215551,48.4869010118255,51.5130989881745,74.8532829817537,12.1289161265779,1.18115898325686,9.21359678220004,0.351656916460606,0.308047747400847,57901,61.6930563996456,21.6459213828746,43.7348933663031,2.83645169820599,19.0173091286981,3.51471345528436,874.224661449031,14.8456745735348,0.0169815325833156,"TRUE"
"massachusetts","middlesex",1582857,48.8428202926733,51.1571797073267,73.3262701558006,4.84617372257886,11.1658854842857,7.65520827213071,0.108095677625964,6.48289769701243,92878,39.5709151237288,2.05748213515182,54.5136421041193,2.74162479617552,26.1172045232134,6.3475727750517,592.984710558187,18.7572219094966,0.0316318811860091,"TRUE"
"connecticut","hartford",897417,48.5536824018266,51.4463175981734,62.512410618475,12.7823520169553,5.03422600641619,17.2692293549153,0.149094568077048,1.60883959185083,69936,42.1030579986784,3.22804225906128,49.6389081107222,3.94365161346397,25.1736929431914,5.75451545936839,654.155203210993,22.4756161294025,0.0343582318371519,"TRUE"
"delaware","new castle",555036,48.4325341058958,51.5674658941042,58.543409796842,24.0593402950439,5.42108980318394,9.56928919925915,0.209355789534373,1.91537125519786,68336,39.817777585598,3.30591168861119,48.4948724046728,3.34536858870416,25.9875035132856,6.24680200923904,734.240661866978,9.26066056976484,0.0126125683998724,"FALSE"
"hawaii","hawaii",196325,49.7527059722399,50.2472940277601,30.3272634661913,0.56284222590093,21.4593149114988,12.491022539157,0.203743792181332,0.50630332357061,56395,43.9821724181841,9.82758181586655,43.2762001782758,3.17076276582198,21.7654399592512,4.21240290334904,106.354259518655,2.29211766203998,0.021551724137931,"FALSE"
"massachusetts","worcester",818249,49.3232500131378,50.6767499868622,77.8605290076737,4.33229982560321,4.68146004455856,10.8127232663896,0.156431599671983,0.856829644765835,69313,40.6394630485341,3.24558905663191,50.5945011848472,3.26208770190981,25.6903460926931,6.1002213262711,661.070163238819,21.130487174442,0.0319640612290172,"TRUE"
"hawaii","kauai",71093,49.7053155725599,50.2946844274401,29.621763042775,0.669545524875867,32.8991602548774,10.7661795113443,0.344619020156696,0.371344576821909,72330,43.0886303855513,11.3513285414879,50.3326628500696,2.32231021338247,19.5209092315699,3.01576807843248,24.6156442969069,0.140660824553754,0.00571428571428571,"FALSE"
"massachusetts","hampshire",161197,46.8321370745113,53.1678629254887,84.2391607784264,2.76990266568236,5.28359708927586,5.35617908521871,0.104840660806343,1.59990570544117,64974,39.3530896976991,2.88715050528236,52.3260358443395,3.61731297728866,35.2289434666898,20.0406955464432,315.204377252678,13.647896673015,0.0432985632749459,"TRUE"
"hawaii","maui",164094,49.9305276244104,50.0694723755896,30.5093422062964,0.499104171998976,28.4787987373091,11.0485453459602,0.120662547076676,1.35471132399722,72762,43.9339646787817,10.7938133021317,51.0591490243397,2.64970078125952,21.2097943861445,3.50957378088169,98.6020207929601,1.21881360683511,0.0123609394313968,"FALSE"
"new hampshire","hillsborough",406371,49.6529033813929,50.3470966186071,85.6744206648604,2.10521912242754,3.76429420406476,6.25758235700874,0.100893026323237,0.445159718582281,75777,41.6587305688644,2.74379815488802,54.083829800847,2.72238914686333,23.9662771211528,4.95557015633497,568.716763745444,12.3778517659971,0.0217645277140755,"TRUE"
"hawaii","honolulu",990060,50.4002787709836,49.5997212290164,18.7227036745248,2.17936286689696,41.8078702300871,9.60244833646446,0.0942367129264893,4.29741631820294,80078,34.9851524150051,3.52736197806194,47.1855241096499,2.23784417106034,24.1218714017332,6.44546795143729,202.189766276791,2.57560147869826,0.0127385353182136,"FALSE"
"massachusetts","suffolk",780685,48.3641929843663,51.6358070156337,45.4897942191793,20.1593472399239,8.60910610553552,22.2505876249704,0.196109826626616,17.3842202680979,61242,42.0991821285153,3.20052261795731,54.2107251964621,4.16992769170664,27.6012732408077,10.2166686948001,846.256812927109,19.085802852623,0.0225532043713862,"TRUE"
"connecticut","fairfield",947328,48.7033002296987,51.2966997703013,62.842331272801,10.443162241589,5.11132363869747,19.0408179637887,0.144828401567356,5.10224547358465,89773,38.9563065801919,3.31099682475341,50.0838146872044,4.1283483650858,26.8375895149304,5.4168144507499,713.765453992704,19.5602790163491,0.0274043509768254,"TRUE"
"massachusetts","norfolk",694389,47.9899595183679,52.0100404816321,76.6538640445053,6.29603867572787,10.3427617660994,4.16193228867393,0.0878470137055743,7.45749140611386,95668,39.7363725519846,1.95870038263855,52.9076641479056,3.05650003096247,25.7587605794447,5.5028233454159,514.697093415938,20.1616097029187,0.0391717963066592,"TRUE"
"rhode island","providence",633704,48.5261257621855,51.4738742378145,62.2314203476702,8.02188403418631,4.08124297779405,21.621608826834,0.380619342784644,1.69527097824852,52530,41.94497746582,4.31463269917816,48.4729463598147,3.99161122543017,25.6329453498794,7.6542044866373,1065.57635741608,23.2916314241349,0.0218582471936735,"TRUE"
"connecticut","new haven",862127,48.236860694538,51.763139305462,64.143681847338,12.255850936115,3.90638502216031,17.2185768454068,0.0908218858706432,2.00979670048612,64872,42.4004815995787,4.42440614897805,49.3232435592436,4.10345575535855,25.6242989721932,6.26218642960956,680.027420554048,19.7882678538081,0.0290992204956761,"TRUE"
"dc","washington",672391,47.4494750822066,52.5505249177934,35.9762400151103,46.8713888198979,3.72744429952215,10.682623652012,0.169544208652406,18.6857051923658,77649,45.8306253355562,4.4878649476272,53.1983622624336,4.6519064056479,24.6960473890935,7.24266089224871,509.51009159849,12.805049442958,0.0251320820806212,"TRUE"
"hawaii","kalawao",86,47.6744186046512,52.3255813953488,20.9302325581395,0,29.0697674418605,4.65116279069767,0,0,61750,110.46511627907,48.8372093023256,73.2558139534884,0,5.81395348837209,5.81395348837209,0,0,0,"FALSE"
"alaska","bristol bay borough",917,58.0152671755725,41.9847328244275,50.2726281352235,0.436205016357688,1.41766630316249,4.4711014176663,34.3511450381679,0.109051254089422,79500,102.617230098146,63.576881134133,55.3980370774264,4.03489640130862,23.3369683751363,2.61723009814613,0,0,0,"FALSE"
"alaska","yukon-koyukuk census area",5453,53.8419218778654,46.1580781221346,21.3460480469466,0.0916926462497708,0.733541169998166,2.14560792224464,70.4382908490739,0.110031175499725,37819,74.5827984595635,38.6576196589034,38.1808178984045,9.35264991747662,25.6372638914359,2.10893086374473,465.798642948836,7.33541169998166,0.015748031496063,"FALSE"
"alaska","skagway municipality",1038,57.2254335260116,42.7745664739884,78.6127167630058,0.192678227360308,4.04624277456647,6.84007707129094,5.29865125240848,0.674373795761079,70673,63.0057803468208,22.2543352601156,67.5337186897881,5.78034682080925,15.2215799614644,4.04624277456647,144.508670520231,0,0,"FALSE"
"alaska","hoonah-angoon census area",2146,52.3299161230196,47.6700838769804,43.569431500466,2.74930102516309,2.7027027027027,5.4520037278658,37.2786579683131,1.35135135135135,57900,76.8406337371855,39.4687791239515,48.4156570363467,6.43056849953402,15.5638397017707,1.91053122087605,232.991612301957,4.65983224603914,0.02,"FALSE"
"alaska","northwest arctic borough",7715,54.0246273493195,45.9753726506805,11.0952689565781,0.544394037589112,0.881399870382372,2.54050550874919,81.6202203499676,0.0907323395981854,61533,35.1652624756967,11.198963058976,34.400518470512,8.67141931302657,28.7621516526248,1.81464679196371,661.049902786779,0,0,"FALSE"
"alaska","haines borough",2537,52.1482065431612,47.8517934568388,78.951517540402,0.0394166338194718,3.94166338194718,2.7985810011825,7.48916042569965,0.315333070555775,70640,63.8155301537249,20.969649191959,56.641702798581,1.57666535277887,16.7520693732755,1.85258178951518,59.1249507292077,0,0,"FALSE"
"alaska","city and borough of juneau",32434,51.3751002034902,48.6248997965098,65.4066720108528,1.01745082321021,6.70900906456188,6.37294197447123,10.7911450946538,2.86427822655238,90749,41.4719121909108,3.63199112042918,55.4048221002652,2.79336498735894,24.5421471295554,4.57852870444595,300.610470493926,0.924955293827465,0.00307692307692308,"FALSE"
"alaska","aleutians west census area",5784,61.186030428769,38.813969571231,24.8098201936376,5.03112033195021,37.7247579529737,13.4854771784232,11.4972337482711,0.103734439834025,85192,34.2323651452282,13.1742738589212,68.4820193637621,1.33125864453665,17.6694329183956,1.6597510373444,190.179806362379,0,0,"FALSE"
"alaska","nome census area",9869,53.1968791164252,46.8031208835748,14.8545951970818,0.759955415948931,1.38818522646671,2.37106089776066,73.0266491032526,0.11146012767251,53821,41.3618401053805,12.0072955719931,36.8730367818421,7.33610294862701,29.151889755801,1.56044178741514,296.889249164049,0,0,"FALSE"
"alaska","aleutians east borough",3338,61.3840623127621,38.6159376872379,15.4583582983823,4.79328939484721,26.0934691431995,9.70641102456561,37.4176153385261,0.0599161174355902,66607,31.4859197124026,7.15997603355303,72.0491312162972,1.76752546434991,13.5110844817256,0.718993409227082,86.8783702816058,0,0,"FALSE"
"alaska","wrangell city and borough",2475,51.7171717171717,48.2828282828283,64.4444444444444,0.161616161616162,3.11111111111111,3.15151515151515,20.6060606060606,0.323232323232323,56094,59.2323232323232,15.4343434343434,44.2424242424242,3.35353535353535,19.2727272727273,3.27272727272727,72.7272727272727,0,0,"FALSE"
"alaska","denali borough",2303,50.7164567954842,49.2835432045159,82.7181936604429,0.173686495874946,4.73295701259227,0.738167607468519,2.17108119843682,0.303951367781155,83295,72.4706904038211,43.0308293530178,66.391663048198,1.25922709509336,16.1094224924012,2.17108119843682,251.845419018671,0,0,"FALSE"
"alaska","fairbanks north star borough",100031,53.9502754146215,46.0497245853785,71.0779658305925,4.00475852485729,2.99807059811458,7.71160940108566,6.28405194389739,0.480850936209775,76250,43.8524057542162,7.46768501764453,46.710519738881,4.04574581879617,27.748397996621,8.05250372384561,550.229428877048,2.39925623056852,0.00436046511627907,"FALSE"
"alaska","sitka city and borough",8810,51.305334846765,48.694665153235,62.4063564131669,0.964812712826334,6.69693530079455,6.29965947786606,13.1441543700341,0.749148694665153,70765,47.3893303064699,7.15096481271283,53.3711691259932,2.80363223609535,22.9171396140749,3.33711691259932,306.469920544835,0,0,"FALSE"
"alaska","matanuska-susitna borough",101135,52.1748158402136,47.8251841597864,79.916942700351,1.02140703020715,1.29628714095022,4.61363524002571,4.98442675631582,0.337173085479804,74887,41.235971720967,10.9665298857962,42.2158501013497,4.59385969249024,26.5526276758788,4.0480545805112,703.712859049785,1.77979927819252,0.0025291555430659,"FALSE"
"alaska","yakutat city and borough",682,53.6656891495601,46.3343108504399,43.6950146627566,0.879765395894428,5.42521994134897,5.57184750733138,28.2991202346041,0.439882697947214,64583,58.6510263929619,21.2609970674487,55.2785923753666,3.81231671554252,19.208211143695,1.46627565982405,0,0,0,"FALSE"
"alaska","kusilvak census area",8129,53.413704022635,46.586295977365,3.77660228810432,0.430557264116127,0.504367080821749,1.62381596752368,89.5805142083897,0.0246032722352073,36468,27.6048714479026,6.05240496986099,26.1409767499077,10.5548037889039,32.5009226227088,0.528970353056956,1251.07639316029,3.69049083528109,0.00294985250737463,"FALSE"
"alaska","prince of wales-hyder census area",6473,54.2097945311293,45.7902054688707,45.2803954889541,0.154487872701993,1.14321025799475,3.67681137030743,39.842422369844,0.509809979916577,52114,52.6958133786498,16.9318708481384,42.947628611154,6.68932488799629,21.6437509655492,1.59122508883053,103.506874710335,1.54487872701993,0.0149253731343284,"FALSE"
"alaska","southeast fairbanks census area",6889,55.3491072724633,44.6508927275367,74.9310494992016,1.43707359558717,1.91609812744956,5.16765858615184,11.5256205545072,0.275802003193497,63866,56.8297285527653,25.7802293511395,42.6912469153723,6.09667586006677,23.8641312236899,2.32254318478734,554.507185367978,4.35476847147627,0.00785340314136126,"FALSE"
